Datetime Ts Tc Tw
"01.08.2016 00:00:00" 22.41327745848352 -0.5867203051556057 0.0
"01.08.2016 01:00:00" 22.241641183177496 -0.7583562090510798 0.0
"01.08.2016 02:00:00" 22.274345511413042 -0.7256519030273318 0.0
"01.08.2016 03:00:00" 22.33386971045545 -0.6661279182775758 0.0
"01.08.2016 04:00:00" 22.402674188903514 -0.5973235686788633 0.0
"01.08.2016 05:00:00" 22.37642097029852 -0.623567152002292 0.0
"01.08.2016 06:00:00" 22.388787933239556 -0.5778597442060711 0.0
"01.08.2016 07:00:00" 22.364015720228583 -0.5526426479020334 0.0
"01.08.2016 08:00:00" 22.43174008722303 -0.46827918864037416 3.5055732035361896e-05
"01.08.2016 09:00:00" 22.4265030244299 -0.44032422806277677 0.00018688181985688574
"01.08.2016 10:00:00" 22.309523275790678 -0.5074798092844772 0.0003469477889223135
"01.08.2016 11:00:00" 22.35687137701774 -0.44364206762592073 0.0005144446436589312
"01.08.2016 12:00:00" 22.29397786727899 -0.5066985284964886 0.0007129001248490314
"01.08.2016 13:00:00" 22.388878346792495 -0.3620385058419815 0.0009553156796246534
"01.08.2016 14:00:00" 22.323005785260698 -0.3781751161161243 0.0011799013768223382
"01.08.2016 15:00:00" 22.362557658670173 -0.3387932053088541 0.001349863979025998
"01.08.2016 16:00:00" 22.38180055176754 -0.3197161157142936 0.0015156674818327055
"01.08.2016 17:00:00" 22.247759976341563 -0.4538611316662483 0.0016201080078105698
"01.08.2016 18:00:00" 22.236170732176806 -0.4654560856807576 0.0016258178575633152
"01.08.2016 19:00:00" 22.231768314926768 -0.4697757593361298 0.0015430742628986776
"01.08.2016 20:00:00" 22.124665376464375 -0.5767226752766291 0.0013870517410005064
"01.08.2016 21:00:00" 22.076786513844517 -0.6244042038962818 0.0011897177408017965
"01.08.2016 22:00:00" 21.913287318932127 -0.7876510247278928 0.0009373436600202211
"01.08.2016 23:00:00" 21.62327520413509 -1.0772980995073493 0.0005723036424385191
"02.08.2016 00:00:00" 21.58433997115484 -1.1158008938726676 0.00013986502750665044
"02.08.2016 01:00:00" 21.520931339310728 -1.178991113766101 0.0
"02.08.2016 02:00:00" 21.459278667575255 -1.1907700555012153 0.0
"02.08.2016 03:00:00" 21.487309848810053 -1.1959929653780852 0.0
"02.08.2016 04:00:00" 21.476895991751586 -1.1898226473184528 0.0
"02.08.2016 05:00:00" 21.57128147232578 -1.1286868200668512 0.0
"02.08.2016 06:00:00" 21.61639208808826 -1.0668789621082666 0.0
"02.08.2016 07:00:00" 21.755534834637952 -0.8945561252196639 0.0
"02.08.2016 08:00:00" 21.98850086105941 -0.711499221073249 0.0
"02.08.2016 09:00:00" 22.171323124009845 -0.5286875550779244 9.6790877665209e-06
"02.08.2016 10:00:00" 22.28084790509604 -0.4192692109486531 0.00011611604468891472
"02.08.2016 11:00:00" 22.518967127474006 -0.1813567150169618 0.00032284249096709364
"02.08.2016 12:00:00" 22.5168957952857 -0.1836682210513729 0.000563016337072044
"02.08.2016 13:00:00" 22.481341309547858 -0.21939904858029413 0.0007393581281522713
"02.08.2016 14:00:00" 22.44144970810565 -0.25941029067161814 0.0008589987772687502
"02.08.2016 15:00:00" 22.366928122033773 -0.33396189810577354 0.0008890201395455831
"02.08.2016 16:00:00" 22.202017337034558 -0.49894871642046307 0.0007678062806357481
"02.08.2016 17:00:00" 22.35558351785839 -0.4284821881436416 0.0005709647747390978
"02.08.2016 18:00:00" 22.338619714478437 -0.5119832085656908 0.00035638017176940426
"02.08.2016 19:00:00" 22.23693166107891 -0.7132955913638861 9.90285242172403e-05
"02.08.2016 20:00:00" 22.282721115139406 -0.7172765155981625 0.0
"02.08.2016 21:00:00" 22.48103485527933 -0.5189636291451003 0.0
"02.08.2016 22:00:00" 22.496589039932182 -0.5034095306883744 0.0
"02.08.2016 23:00:00" 22.48751089178516 -0.5124872979010381 0.0
"03.08.2016 00:00:00" 22.33142477106215 -0.6685731377630851 0.0
"03.08.2016 01:00:00" 22.14714929415581 -0.8528477538767063 0.0
"03.08.2016 02:00:00" 22.296567455016397 -0.7032822062188311 0.0
"03.08.2016 03:00:00" 22.103597336063395 -0.8462498568225013 0.0
"03.08.2016 04:00:00" 22.101749756811937 -0.7984014206383009 0.0
"03.08.2016 05:00:00" 22.27717218954006 -0.6729835704163922 0.0
"03.08.2016 06:00:00" 22.17189584561691 -0.8281550155837302 0.0
"03.08.2016 07:00:00" 22.327292324482496 -0.6896441652317823 0.0
"03.08.2016 08:00:00" 22.72485182400116 -0.375188132092597 3.995609375330608e-05
"03.08.2016 09:00:00" 22.836689366412447 -0.26350612193248935 0.0001954883449367349
"03.08.2016 10:00:00" 22.84682964924188 -0.2535979146957095 0.0004275639375876798
"03.08.2016 11:00:00" 22.837091428148685 -0.2636390920747446 0.0007305202234271259
"03.08.2016 12:00:00" 22.9622981454745 -0.13897605613951824 0.0010966692156473194
"03.08.2016 13:00:00" 23.013129693038913 -0.1385013670535401 0.001448579649820983
"03.08.2016 14:00:00" 23.074024434028114 -0.12771669965931745 0.0017401336874291263
"03.08.2016 15:00:00" 23.048307216086677 -0.1537013736477683 0.0020075897344429077
"03.08.2016 16:00:00" 23.04421018905338 -0.15785086099112317 0.0022494065744727517
"03.08.2016 17:00:00" 22.953771133995925 -0.19846670302751426 0.0024281637883332855
"03.08.2016 18:00:00" 22.83548255018474 -0.26709165880589203 0.002509115079745106
"03.08.2016 19:00:00" 22.765441420900274 -0.35404360011985747 0.0024876240735715533
