 Ts Tc Tw
0 22.41327745848352 -0.5867203051556057 0.0
1 22.41145145068745 -0.5885463092370173 0.0
2 22.4096253727377 -0.5903723834721157 0.0
3 22.407799291478682 -0.592198461016487 0.0
4 22.405973274168158 -0.5940244746123696 0.0
5 22.40414738846611 -0.5958503565997758 0.0
6 22.402321702423343 -0.5976760389279129 0.0
7 22.40049628446973 -0.599501453166896 0.0
8 22.39867120340224 -0.6013265305197585 0.0
9 22.39684652837263 -0.6031512018347513 0.0
10 22.395022328874834 -0.6049753976179342 0.0
11 22.3931986747321 -0.6067990480460566 0.0
12 22.391375636083833 -0.608622082979722 0.0
13 22.389553283372116 -0.6104444319768385 0.0
14 22.387731687328007 -0.6122660243063498 0.0
15 22.385910918957524 -0.6140867889622424 0.0
16 22.384091049527353 -0.615906654677831 0.0
17 22.382272150550296 -0.6177255499403106 0.0
18 22.380454293770452 -0.6195434030055798 0.0
19 22.378637551148135 -0.6213601419133267 0.0
20 22.376821994844526 -0.6231756945023719 0.0
21 22.375007697206073 -0.624989988426269 0.0
22 22.373194730748633 -0.6268029511691526 0.0
23 22.371383168141406 -0.6286145100618331 0.0
24 22.369573082190566 -0.6304245922981287 0.0
25 22.367764545822727 -0.6322331249514336 0.0
26 22.365957632068117 -0.6340400349915127 0.0
27 22.364152414043588 -0.6358452493015194 0.0
28 22.362348964935357 -0.6376486946952286 0.0
29 22.360547357981595 -0.6394502979344785 0.0
30 22.35874766645475 -0.6412499857468152 0.0
31 22.35694996364373 -0.6430476848433334 0.0
32 22.355154322835862 -0.6448433219367034 0.0
33 22.353360817298697 -0.6466368237593788 0.0
34 22.351569520261613 -0.6484281170819794 0.0
35 22.34978050489728 -0.6502171287318338 0.0
36 22.34799384430296 -0.6520037856116837 0.0
37 22.346209611481644 -0.6537880147185325 0.0
38 22.34442787932308 -0.6555697431626354 0.0
39 22.34264872058465 -0.6573488981866175 0.0
40 22.340872207872106 -0.6591254071847146 0.0
41 22.339098413620253 -0.6608991977221275 0.0
42 22.33732741007347 -0.6626701975544768 0.0
43 22.33555926926617 -0.6644383346473487 0.0
44 22.33379406300317 -0.6662035371959297 0.0
45 22.332031862839983 -0.667965733644708 0.0
46 22.33027274006304 -0.6697248527072424 0.0
47 22.328516765669903 -0.6714808233859807 0.0
48 22.326764010349372 -0.673233574992121 0.0
49 22.325014544461602 -0.6749830371655066 0.0
50 22.323268438018193 -0.6767291398945371 0.0
51 22.321525760662265 -0.6784718135360956 0.0
52 22.319786581648533 -0.6802109888354673 0.0
53 22.31805096982339 -0.6819465969462536 0.0
54 22.316318993605037 -0.6836785694502575 0.0
55 22.31459072096362 -0.6854068383773367 0.0
56 22.31286621940141 -0.6871313362252114 0.0
57 22.311145555933084 -0.688851995979214 0.0
58 22.309428797066012 -0.6905687511319712 0.0
59 22.307716008780666 -0.6922815357030058 0.0
60 22.306007256511123 -0.6939902842582478 0.0
61 22.30430260512564 -0.6956949319294428 0.0
62 22.302602118907352 -0.6973954144334448 0.0
63 22.30090586153513 -0.6990916680913879 0.0
64 22.299213896064536 -0.7007836298477155 0.0
65 22.29752628490893 -0.7024712372890656 0.0
66 22.295843089820746 -0.7041544286629953 0.0
67 22.294164371872967 -0.7058331428965342 0.0
68 22.292490191440713 -0.707507319614557 0.0
69 22.290820608183083 -0.7091768991579632 0.0
70 22.28915568102518 -0.7108418226016522 0.0
71 22.28749546814034 -0.7125020317722849 0.0
72 22.285840026932608 -0.7141574692658196 0.0
73 22.284189414019433 -0.7158080784648116 0.0
74 22.2825436852146 -0.7174538035554683 0.0
75 22.280902895511456 -0.7190945895444453 0.0
76 22.279267099066363 -0.7207303822753782 0.0
77 22.27763634918246 -0.7223611284451372 0.0
78 22.276010698293664 -0.7239867756197939 0.0
79 22.27439019794903 -0.7256072722502968 0.0
80 22.27277489879738 -0.7272225676878361 0.0
81 22.27116485057221 -0.7288326121988997 0.0
82 22.26956010207701 -0.7304373569800036 0.0
83 22.26796070117084 -0.7320367541720908 0.0
84 22.26636669475426 -0.7336307568745944 0.0
85 22.264778128755644 -0.735219319159147 0.0
86 22.263195048117797 -0.73680239608294 0.0
87 22.261617496784982 -0.7383799437017168 0.0
88 22.26004551769027 -0.7399519190823994 0.0
89 22.25847915274332 -0.7415182803153335 0.0
