AbsTime Ts Tc Tw
1470002400.0 22.387058183637542 -0.5867203051556057 0.0
1470002460.4860487 22.401276734940094 -0.5897881614198554 0.0
1470002520.9720972 22.398197286429355 -0.592856087326282 0.0
1470002581.4581459 22.395118251966387 -0.5959237639216012 0.0
1470002641.9441943 22.392039955562215 -0.5989908690327452 0.0
1470002702.430243 22.388962724042166 -0.6020570775192083 0.0
1470002762.9162917 22.38588688731723 -0.6051220613506357 0.0
1470002823.4023402 22.382812777947912 -0.6081854898118771 0.0
1470002883.8883889 22.379740730933708 -0.6112470297144187 0.0
1470002944.3744373 22.376671083848805 -0.6143063454934791 0.0
1470003004.860486 22.373604176211018 -0.6173630994924114 0.0
1470003065.3465347 22.370540349720734 -0.6204169520722772 0.0
1470003125.8325832 22.36747994779412 -0.6234675618480849 0.0
1470003186.318632 22.3644233153224 -0.6265145859306666 0.0
1470003246.8046806 22.361370798741756 -0.6295576800660543 0.0
1470003307.290729 22.35832274557317 -0.6325964988886351 0.0
1470003367.7767777 22.355279504165633 -0.635630696179304 0.0
1470003428.2628262 22.352241423784612 -0.6386599250090095 0.0
1470003488.748875 22.34920885393943 -0.6416838380665908 0.0
1470003549.2349236 22.346182144577355 -0.6447020878118795 0.0
1470003609.720972 22.343161645577535 -0.6477143267526495 0.0
1470003670.2070208 22.340147706472024 -0.650720207725179 0.0
1470003730.6930692 22.337140676511446 -0.6537193840599572 0.0
1470003791.179118 22.334140903974905 -0.6567115099286209 0.0
1470003851.6651666 22.33114873634357 -0.6596962405163678 0.0
1470003912.151215 22.328164519779243 -0.6626732323155188 0.0
1470003972.6372638 22.32518859883088 -0.6656421434209345 0.0
1470004033.1233122 22.3222213164848 -0.6686026337103174 0.0
1470004093.609361 22.319263013465942 -0.6715543652018257 0.0
1470004154.0954096 22.316314028398963 -0.6744970022375618 0.0
1470004214.581458 22.313374697280544 -0.6774302117848564 0.0
1470004275.0675068 22.310445353180718 -0.6803536637373598 0.0
1470004335.5535553 22.307526326286556 -0.6832670311008201 0.0
1470004396.039604 22.304617943205084 -0.6861699903515045 0.0
1470004456.5256526 22.3017205271212 -0.6890622216211574 0.0
1470004517.011701 22.298834397274234 -0.6919434089958646 0.0
1470004577.4977498 22.295959868664422 -0.6948132408125056 0.0
1470004637.9837983 22.29309725210012 -0.6976714098398545 0.0
1470004698.469847 22.29024685351363 -0.7005176136270491 0.0
1470004758.9558957 22.287408974125977 -0.7033515546796434 0.0
1470004819.4419441 22.2845839099389 -0.7061729407452851 0.0
1470004879.9279928 22.281771951457404 -0.7089814850947262 0.0
1470004940.4140415 22.278973383717545 -0.711776906698742 0.0
1470005000.90009 22.276188485815425 -0.7145589305007466 0.0
1470005061.3861387 22.273417530644583 -0.7173272876834401 0.0
1470005121.8721871 22.270660784970268 -0.7200817158207329 0.0
1470005182.3582358 22.267918508789492 -0.7228219591877633 0.0
1470005242.8442845 22.265190955527828 -0.7255477689012932 0.0
1470005303.330333 22.26247837157864 -0.728258903162503 0.0
1470005363.8163817 22.25978099607321 -0.7309551274918507 0.0
1470005424.3024302 22.257099060984345 -0.7336362148502236 0.0
1470005484.7884789 22.25443279052761 -0.736301945912194 0.0
1470005545.2745275 22.251782401389725 -0.7389521091722635 0.0
1470005605.760576 22.24914810230982 -0.7415865011490548 0.0
1470005666.2466247 22.24653009389094 -0.7442049265799746 0.0
1470005726.7326732 22.243928568740778 -0.7468071985038023 0.0
1470005787.2187219 22.24134371092253 -0.7493931384894754 0.0
1470005847.7047706 22.238775696221722 -0.7519625767012454 0.0
1470005908.190819 22.23622469177675 -0.7545153520575748 0.0
1470005968.6768677 22.233690855938406 -0.7570513123794144 0.0
1470006029.1629162 22.232617120771238 -0.7581232551806413 0.0
1470006089.648965 22.233099237593166 -0.7576348722588147 0.0
1470006150.1350136 22.23358363595544 -0.7571442426482536 0.0
1470006210.621062 22.234070310687773 -0.7566513712678161 0.0
1470006271.1071107 22.234559256431385 -0.7561562631629313 0.0
1470006331.5931592 22.235050467841585 -0.7556589235185378 0.0
1470006392.079208 22.235543939280696 -0.7551593576427729 0.0
1470006452.5652566 22.23603966512864 -0.7546575709799581 0.0
1470006513.051305 22.236537639573747 -0.7541535691040262 0.0
1470006573.5373538 22.237037856618883 -0.7536473577117754 0.0
1470006634.0234025 22.23754031026562 -0.7531389426340253 0.0
1470006694.509451 22.238044994325804 -0.7526283298289174 0.0
1470006754.9954996 22.238551902427872 -0.752115525375044 0.0
1470006815.481548 22.239061028221517 -0.7516005354847479 0.0
1470006875.9675968 22.23957236506762 -0.7510833664871283 0.0
1470006936.4536455 22.238726389906066 -0.7505733091626363 0.0
1470006996.939694 22.23698639780368 -0.7500671474898654 0.0
1470007057.4257426 22.23524867055866 -0.7495587524384227 0.0
1470007117.911791 22.23351320159157 -0.7490481304803007 0.0
1470007178.3978398 22.231779983995924 -0.7485352882057394 0.0
1470007238.8838885 22.230049010916435 -0.7480202323364261 0.0
1470007299.369937 22.22832027530957 -0.7475029697186133 0.0
1470007359.8559856 22.226593769923564 -0.7469835073160661 0.0
1470007420.342034 22.224869487567922 -0.7464618522234406 0.0
1470007480.8280828 22.2231474207284 -0.7459380116489785 0.0
1470007541.3141315 22.221427561947266 -0.7454119929279357 0.0
1470007601.80018 22.219709903582604 -0.7448838035154959 0.0
1470007662.2862287 22.217994437788505 -0.7443534509795164 0.0
1470007722.772277 22.21628115678585 -0.7438209430141387 0.0
1470007783.2583258 22.214570052475437 -0.743286287422067 0.0
1470007843.7443745 22.21204553378027 -0.7427548634720433 0.0
